titulo,descricao,lance_atual,lote,leiloeiro,evento,data,data_original,hora,uf,local,link_evento,link_lote,foto_lote,link_edital,resumo_edital,fonte,capturado_em,status_captura,fonte_descoberta,dominio_origem,url_descoberta,descoberto_em,confianca_dados,status_evento,id_origem
Ver Detalhes,,,,wrleiloes.com.br,"[ÓRGÃO PÚBLICO] - DETRAN - Sucatas, Equipamentos, Motos - Boa Vista / RR",2026-08-27,27/08/2026,09:00,RR,"Rua Três Marias, 139 - Bela Vista - 69316-158 - Boa Vista - RR - Brasil",https://www.wrleiloes.com.br/leilao/760/leilao-departamento-estadual-de-transito-de-roraima-detran-rr?page=1,https://www.wrleiloes.com.br/lote/53300/lancha-motorizada-voo-da-aguia-,https://www.wrleiloes.com.br/imgTmp/169459046c6c1238150c0a3c187e1b27.jpeg,,"UPERAVEL Lance atual: R$ 182.950,00 (Incremento: + R$ 300,00) Ver Detalhes Lote nº: 19 | Aeronave/ , , Lance atual: R$ 197.999,00 (Incremento: + R$ 1.000,00) Ver Detalhes Confira os próximos Leilões Cadastrados JUDICIAL 27/08/2026 às 09:00 Leilão Tribunal de Justiça de Roraima - Judicial/Alienação Antecipada/Vara de Entorpecente Online 1ª Praça » 10/02/2019 2ª Praça » 15/03/2019 --> Aberto para lances (ver lotes) Aberto para lances EXTRAJUDICIAL 28/08/2026 às 10:00 Leilão Departame",https://www.wrleiloes.com.br/,2026-08-25T04:08:49-03:00,http_200,,,,,,,
Ver Detalhes,,,,wrleiloes.com.br,"[ÓRGÃO PÚBLICO] - DETRAN - Sucatas, Equipamentos, Motos - Boa Vista / RR",2026-08-27,27/08/2026,09:00,RR,"Rua Três Marias, 139 - Bela Vista - 69316-158 - Boa Vista - RR - Brasil",https://www.wrleiloes.com.br/leilao/760/leilao-departamento-estadual-de-transito-de-roraima-detran-rr?page=1,https://www.wrleiloes.com.br/lote/53283/toyota-hilux-sw4-sr-2-7-16v-vvt-i,https://www.wrleiloes.com.br/imgTmp/1787164974580.jpg,,"UPERAVEL Lance atual: R$ 182.950,00 (Incremento: + R$ 300,00) Ver Detalhes Lote nº: 19 | Aeronave/ , , Lance atual: R$ 197.999,00 (Incremento: + R$ 1.000,00) Ver Detalhes Confira os próximos Leilões Cadastrados JUDICIAL 27/08/2026 às 09:00 Leilão Tribunal de Justiça de Roraima - Judicial/Alienação Antecipada/Vara de Entorpecente Online 1ª Praça » 10/02/2019 2ª Praça » 15/03/2019 --> Aberto para lances (ver lotes) Aberto para lances EXTRAJUDICIAL 28/08/2026 às 10:00 Leilão Departame",https://www.wrleiloes.com.br/,2026-08-25T04:08:49-03:00,http_200,,,,,,,
Ver Detalhes,,,,wrleiloes.com.br,"[ÓRGÃO PÚBLICO] - DETRAN - Sucatas, Equipamentos, Motos - Boa Vista / RR",2026-08-27,27/08/2026,09:00,RR,"Rua Três Marias, 139 - Bela Vista - 69316-158 - Boa Vista - RR - Brasil",https://www.wrleiloes.com.br/leilao/760/leilao-departamento-estadual-de-transito-de-roraima-detran-rr?page=1,https://www.wrleiloes.com.br/lote/53285/honda-xre-sahara-300-rally,https://www.wrleiloes.com.br/imgTmp/7b5bbe54ab508822bfaa80218f3bc727.jpeg,,"UPERAVEL Lance atual: R$ 182.950,00 (Incremento: + R$ 300,00) Ver Detalhes Lote nº: 19 | Aeronave/ , , Lance atual: R$ 197.999,00 (Incremento: + R$ 1.000,00) Ver Detalhes Confira os próximos Leilões Cadastrados JUDICIAL 27/08/2026 às 09:00 Leilão Tribunal de Justiça de Roraima - Judicial/Alienação Antecipada/Vara de Entorpecente Online 1ª Praça » 10/02/2019 2ª Praça » 15/03/2019 --> Aberto para lances (ver lotes) Aberto para lances EXTRAJUDICIAL 28/08/2026 às 10:00 Leilão Departame",https://www.wrleiloes.com.br/,2026-08-25T04:08:49-03:00,http_200,,,,,,,
Ver Detalhes,,,,wrleiloes.com.br,"[ÓRGÃO PÚBLICO] - DETRAN - Sucatas, Equipamentos, Motos - Boa Vista / RR",2026-08-27,27/08/2026,09:00,RR,"Rua Três Marias, 139 - Bela Vista - 69316-158 - Boa Vista - RR - Brasil",https://www.wrleiloes.com.br/leilao/760/leilao-departamento-estadual-de-transito-de-roraima-detran-rr?page=1,https://www.wrleiloes.com.br/lote/53298/ram-3500-laramie-6-7-i6-turbo,https://www.wrleiloes.com.br/imgTmp/1787150782031.jpg,,"UPERAVEL Lance atual: R$ 182.950,00 (Incremento: + R$ 300,00) Ver Detalhes Lote nº: 19 | Aeronave/ , , Lance atual: R$ 197.999,00 (Incremento: + R$ 1.000,00) Ver Detalhes Confira os próximos Leilões Cadastrados JUDICIAL 27/08/2026 às 09:00 Leilão Tribunal de Justiça de Roraima - Judicial/Alienação Antecipada/Vara de Entorpecente Online 1ª Praça » 10/02/2019 2ª Praça » 15/03/2019 --> Aberto para lances (ver lotes) Aberto para lances EXTRAJUDICIAL 28/08/2026 às 10:00 Leilão Departame",https://www.wrleiloes.com.br/,2026-08-25T04:08:49-03:00,http_200,,,,,,,
Ver Detalhes,,,,wrleiloes.com.br,"[ÓRGÃO PÚBLICO] - DETRAN - Sucatas, Equipamentos, Motos - Boa Vista / RR",2026-08-27,27/08/2026,09:00,RR,"Rua Três Marias, 139 - Bela Vista - 69316-158 - Boa Vista - RR - Brasil",https://www.wrleiloes.com.br/leilao/760/leilao-departamento-estadual-de-transito-de-roraima-detran-rr?page=1,https://www.wrleiloes.com.br/lote/53296/toyota-hilux-cd-srx-srx-plus-2-8-d-4d-turbo,https://www.wrleiloes.com.br/imgTmp/1787059465952.jpg,,"UPERAVEL Lance atual: R$ 182.950,00 (Incremento: + R$ 300,00) Ver Detalhes Lote nº: 19 | Aeronave/ , , Lance atual: R$ 197.999,00 (Incremento: + R$ 1.000,00) Ver Detalhes Confira os próximos Leilões Cadastrados JUDICIAL 27/08/2026 às 09:00 Leilão Tribunal de Justiça de Roraima - Judicial/Alienação Antecipada/Vara de Entorpecente Online 1ª Praça » 10/02/2019 2ª Praça » 15/03/2019 --> Aberto para lances (ver lotes) Aberto para lances EXTRAJUDICIAL 28/08/2026 às 10:00 Leilão Departame",https://www.wrleiloes.com.br/,2026-08-25T04:08:49-03:00,http_200,,,,,,,
Ver Detalhes,,,,wrleiloes.com.br,"[ÓRGÃO PÚBLICO] - DETRAN - Sucatas, Equipamentos, Motos - Boa Vista / RR",2026-08-27,27/08/2026,09:00,RR,"Rua Três Marias, 139 - Bela Vista - 69316-158 - Boa Vista - RR - Brasil",https://www.wrleiloes.com.br/leilao/760/leilao-departamento-estadual-de-transito-de-roraima-detran-rr?page=1,https://www.wrleiloes.com.br/lote/53297/aeronave-,https://www.wrleiloes.com.br/imgTmp/66180c635a50e3ecfc73904df8dece4b.jpeg,,"UPERAVEL Lance atual: R$ 182.950,00 (Incremento: + R$ 300,00) Ver Detalhes Lote nº: 19 | Aeronave/ , , Lance atual: R$ 197.999,00 (Incremento: + R$ 1.000,00) Ver Detalhes Confira os próximos Leilões Cadastrados JUDICIAL 27/08/2026 às 09:00 Leilão Tribunal de Justiça de Roraima - Judicial/Alienação Antecipada/Vara de Entorpecente Online 1ª Praça » 10/02/2019 2ª Praça » 15/03/2019 --> Aberto para lances (ver lotes) Aberto para lances EXTRAJUDICIAL 28/08/2026 às 10:00 Leilão Departame",https://www.wrleiloes.com.br/,2026-08-25T04:08:49-03:00,http_200,,,,,,,
CHEV ONIX 10 MT LT1,,,1,claudiokussleiloes.com.br,"[FINANCEIRA] - Veículos, Motos - Curitiba / PR",2026-08-25,25/08/2026,10:00,PR,"Rua João Lunardelli, 2095 - Cidade Industrial - 81460-100 - Curitiba - PR - Brasil",https://www.claudiokussleiloes.com.br/relacao-foto/885,https://www.claudiokussleiloes.com.br/,,https://www.claudiokussleiloes.com.br/termoUso.pdf,"t(); $.ajax ({ type:""POST"", url:""json_login.php"", data:{op:""O"",username:$(""input[name=username]"").val(),password:$(""input[name=password]"").val()}, dataType:""json"", success:function(json) { if (json=='1'){ location.reload(); } } }); }); }); Leilão Presencial / Online 25/08/2026 às 10:00 horas Veículos - Financeiras Acessar leilão Leilão Presencial / Online 01/09/2026 às 10:00 horas Veículos - Financeiras Acessar leilão .carousel-control.left{background:none;} .carousel-control.right",https://www.claudiokussleiloes.com.br/,2026-08-25T04:08:48-03:00,http_200,,,,,,,
Sobre,,,,rochaleiloes.com.br,"[PREFEITURA] - Ônibus, Máquinas, Veículos, Vans - Wenceslau Braz / PR",2027-07-26,26/07/2027,11:22,PR,"Rua Expedicionários, 200 - Centro - 84950-000 - Wenceslau Braz - PR - Brasil",https://rochaleiloes.com.br/leilao/6146/lotes,https://rochaleiloes.com.br/leilao/6146/lotes,,,"2026. Os interessados dever\u00e3o entrar em contato com a Prefeitura de WENCESLAU BRAZ - PR (43) 3141-9500 para agendamento de visita. Os lotes a serem apregoados neste leil\u00e3o encontram-se localizados nos p\u00e1tios da Prefeitura "",""leilao_data_controle"":null,""leilao_data_disponibilizar"":""2026-07-27 11:22:42"",""leilao_tipo"":""extra"",""leilao_retirado"":0,""leilao_1_modalidade"":""virtual"",""leilao_2_modalidade"":null,""leilao_3_modalidade"":null,""leilao_4_modalidade"":null,""leilao_1_dat",https://rochaleiloes.com.br/leilao/6146/lotes,2026-08-25T04:08:47-03:00,http_200,,,,,,,
VSRNE Lufeng Chassi: LMNR1174HBL000117 EB: EB3478172107,,,,ricardogomesleiloes.com.br,"[EXÉRCITO] - 3º B LOG - Equipamentos, Caminhonetes, Vans, Veículos, Caminhões - Bagé / RS",2026-08-25,25/08/2026,06:00,RS,"Rua Vinte de Setembro, 1055 - Getúlio Vargas - 96400-050 - Bagé - RS - Brasil",https://www.ricardogomesleiloes.com.br/leiloes/33,https://www.ricardogomesleiloes.com.br/oferta/leilao/veiculos/reboque/1405/id-1647/lote,https://static.suporteleiloes.com.br/ricardogomesleiloescombr/bens/1634/arquivos/6a60354c5c892-6a60354c6571e.jpg,https://static.suporteleiloes.com.br/ricardogomesleiloescombr/leiloes/34/documentos/sl-doc-34-6a6034b8794fa-6a6034b87bed6.pdf,,https://www.ricardogomesleiloes.com.br/leiloes/33,2026-08-25T04:08:48-03:00,http_200,,,,,,,
Efetuar lance,,,,ricardogomesleiloes.com.br,"[EXÉRCITO] - 3º B LOG - Equipamentos, Caminhonetes, Vans, Veículos, Caminhões - Bagé / RS",2026-08-25,25/08/2026,06:00,RS,"Rua Vinte de Setembro, 1055 - Getúlio Vargas - 96400-050 - Bagé - RS - Brasil",https://www.ricardogomesleiloes.com.br/leiloes/33,https://www.ricardogomesleiloes.com.br/oferta/leilao/veiculos/reboque/1405/id-1647/lote#lances,,https://static.suporteleiloes.com.br/ricardogomesleiloescombr/leiloes/34/documentos/sl-doc-34-6a6034b8794fa-6a6034b87bed6.pdf,,https://www.ricardogomesleiloes.com.br/leiloes/33,2026-08-25T04:08:48-03:00,http_200,,,,,,,
