nome,camada,data,data_original,hora_marcador,status_data,uf,endereco_ou_localizacao,latitude,longitude,link,site_leiloeiro,fonte_data_hora,link_edital,resumo_edital,descricao
[PÁTIO DO LEILOEIRO] VIP LEILÕES MANAUS - AM,[PÁTIO DO LEILOEIRO],,,,sem_data,AM,"R. Visc. de Sinimbú - Flores, Manaus - AM, 69058-790",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES SALVADOR - BA,[PÁTIO DO LEILOEIRO],,,,sem_data,BA,"R. Nafta, 717 - Polo Petroquímico, Camaçari - BA, 42810-210",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES FORTALEZA - CE,[PÁTIO DO LEILOEIRO],,,,sem_data,CE,"Campo Grande, Caucaia - CE, 61680-000",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES GOIANA - GO,[PÁTIO DO LEILOEIRO],,,,sem_data,GO,"Av. Castelo Branco, 5360, Esplanada dos Ancuns - Goiania 74433-030",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES IMPERATRIZ - MA,[PÁTIO DO LEILOEIRO],,,,sem_data,MA,"Campo Grande, Caucaia - CE, 61680-000",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES SÃO LUIS - MA,[PÁTIO DO LEILOEIRO],,,,sem_data,MA,"Av. Engenheiro Emiliano Maciera Km 7, nº 5 - Maracana/São Luis",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES VÁRZEA GRANDE - MT,[PÁTIO DO LEILOEIRO],,,,sem_data,MT,"Governador Julio Domingos de Campos, 4975 - Marajoara/Várzera Grande 78138-198",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES BETIM - MG,[PÁTIO DO LEILOEIRO],,,,sem_data,MG,"Av. Engenheiro Gerhard Ett, 1525 - D - Paulo Camilo 3/Betim 32669-110",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES MARITUBA - PA,[PÁTIO DO LEILOEIRO],,,,sem_data,PA,"Alça Viária do Pará, 888, Marituba - PA, 67000-000",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES MARABÁ - PA,[PÁTIO DO LEILOEIRO],,,,sem_data,PA,"BR-222, 03 - São Félix, Marabá - PA",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES PARAUPEBAS - PA,[PÁTIO DO LEILOEIRO],,,,sem_data,PA,Rodovia Faruk Salmen KM 04 - Zona Rural/Parauapebas 68515-000,,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES SANTARÉM - PA,[PÁTIO DO LEILOEIRO],,,,sem_data,PA,"Rua SANTANA, 474, Salé/Santarém 68040-200",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES COLOMBO - PR,[PÁTIO DO LEILOEIRO],,,,sem_data,PR,"R. Pedro Zanetti, 142 - Jardim Canguiri, Colombo - PR, 83412-585",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES CURITIBA - PR,[PÁTIO DO LEILOEIRO],,,,sem_data,PR,"R. Amadeu Assad Yassim, 380 - Bacacheri, Curitiba - PR, 82520-800",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES RECIFE PAULISTA - PE,[PÁTIO DO LEILOEIRO],,,,sem_data,PE,"Av. Severino Josino Guerra, 20, Paulista - PE, 53413-195",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES FLORIANO - PI,[PÁTIO DO LEILOEIRO],,,,sem_data,PI,"R. Sete de Setembro, 1260 - São Cristóvão, Floriano - PI, 64800-850",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES PARANAÍBA - PI,[PÁTIO DO LEILOEIRO],,,,sem_data,PI,"Rua Evandro Lins e Silva, R. Evandro Lins e Silva - Piauí, Parnaíba - PI, 64211-210, Brasil",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES PICOS - PI,[PÁTIO DO LEILOEIRO],,,,sem_data,PI,"R. Ducarmo Nunes, 80 - Ipueiras, Picos - PI, 64600-000",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES TERESINA - PI,[PÁTIO DO LEILOEIRO],,,,sem_data,PI,"Av. Dr. Josué de Moura Santos, 6576 - Pedra Mole, Teresina - PI, 64011-500",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES RIO DE JANEIRO - RJ,[PÁTIO DO LEILOEIRO],,,,sem_data,RJ,"Av. Brasil, 14000 B - Rio de Janeiro",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES RIO GRANDE - RS,[PÁTIO DO LEILOEIRO],,,,sem_data,RS,"Av. Antônio Batista, 595 - Santa Cecília, Viamão - RS, 94495-020",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES PORTO VELHO - RO,[PÁTIO DO LEILOEIRO],,,,sem_data,RO,"Av. Rio Madeira, 612 - Agenor M. de Carvalho, Porto Velho - RO, 76820-713",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES ILHOTA - SC,[PÁTIO DO LEILOEIRO],,,,sem_data,SC,"BR-470, Ilhota - SC",,,https://www.vipleiloes.com.br/ | https://maps.app.goo.gl/vZ88a7Dmgi58xJJ67,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES VALINHOS - SP,[PÁTIO DO LEILOEIRO],,,,sem_data,SP,"Rua Aristides Crivellaro, 228, Valinhos - SP, 13279-813, Brasil",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
[PÁTIO DO LEILOEIRO] VIP LEILÕES SÃO PAULO - SP,[PÁTIO DO LEILOEIRO],,,,sem_data,SP,"Praça dos Omaguás, 98 - Pinheiros, São Paulo - SP, 05419-020",,,https://www.vipleiloes.com.br/,https://www.vipleiloes.com.br/,mapa,,,• Pátio de leiloeiro (leilões diários/semanais) • Entre no site e veja se há leilão ativo nesse pátio.
